date,home_team,away_team,home_score,away_score,tournament,country,neutral,is_neutral,is_home_host,elo_home_pre,home_gf_roll10,home_ga_roll10,home_hist_n,elo_away_pre,away_gf_roll10,away_ga_roll10,away_hist_n,elo_diff_pre
2026-06-11,Mexico,South Africa,,,World Cup,Mexico,False,0,1,1795.7808118675891,0.9,1.0,10,1633.6002388216973,1.6,1.1,10,162.18057304589183
2026-06-11,South Korea,Denmark,,,World Cup,Mexico,True,1,0,1817.209133099347,1.8,0.8,10,1812.4538788999284,2.6,1.3,10,4.755254199418459
2026-06-12,Canada,Italy,,,World Cup,Canada,False,0,1,1772.5270747035477,1.6,0.3,10,1860.8834935179311,2.5,1.7,10,-88.35641881438346
2026-06-12,United States,Paraguay,,,World Cup,USA,False,0,0,1799.5862661863307,1.9,1.2,10,1738.4409319283009,1.1,1.0,10,61.145334258029834
2026-06-13,Haiti,Scotland,,,World Cup,USA,True,1,0,1600.541478909185,1.2,1.5,10,1715.9174397369977,1.9,1.3,10,-115.37596082781283
2026-06-13,Australia,Turkey,,,World Cup,Canada,True,1,0,1771.9046772942936,1.6,0.9,10,1779.4698465918245,2.5,1.5,10,-7.565169297530929
2026-06-13,Brazil,Morocco,,,World Cup,USA,True,1,0,1924.3805955313048,1.7,1.0,10,1843.0054871223892,1.7,0.3,10,81.3751084089156
2026-06-13,Qatar,Switzerland,,,World Cup,USA,True,1,0,1600.0192008441252,0.7,1.8,10,1810.283625004196,2.6,0.6,10,-210.2644241600708
2026-06-14,Ivory Coast,Ecuador,,,World Cup,USA,True,1,0,1697.1042631457974,2.2,0.7,10,1829.4984774668906,0.7,0.3,10,-132.39421432109316
2026-06-14,Germany,Curaçao,,,World Cup,USA,True,1,0,1880.0254113579203,2.2,1.1,10,1520.6247441523426,2.0,0.7,10,359.40066720557775
2026-06-14,Netherlands,Japan,,,World Cup,USA,True,1,0,1887.1742070447146,3.2,0.9,10,1863.2536442626756,2.5,0.7,10,23.920562782039042
2026-06-14,Ukraine,Tunisia,,,World Cup,Mexico,True,1,0,1755.0132703236359,1.7,2.0,10,1686.6544460352845,1.8,1.3,10,68.35882428835134
2026-06-15,Saudi Arabia,Uruguay,,,World Cup,USA,True,1,0,1664.3045087386483,1.1,0.9,10,1833.481462834521,0.9,0.9,10,-169.1769540958726
2026-06-15,Spain,Cape Verde,,,World Cup,USA,True,1,0,2000.640400948491,3.3,1.3,10,1603.3084384468464,1.7,0.7,10,397.33196250164474
2026-06-15,Iran,New Zealand,,,World Cup,USA,True,1,0,1798.4662130418862,1.4,0.7,10,1633.56353768247,1.5,1.2,10,164.9026753594162
2026-06-15,Belgium,Egypt,,,World Cup,USA,True,1,0,1838.308251998083,3.3,1.0,10,1718.9692723149205,1.3,1.1,10,119.3389796831625
2026-06-16,France,Senegal,,,World Cup,USA,True,1,0,1948.631140833096,2.4,1.1,10,1802.8048094039848,2.9,0.4,10,145.82633142911118
2026-06-16,Iraq,Norway,,,World Cup,USA,True,1,0,1678.2371776063187,1.1,0.7,10,1773.5574708699512,3.9,0.6,10,-95.3202932636325
