team,reached_R32,reached_R16,reached_QF,reached_SF,reached_FINAL,p_win
Germany,1.0,0.8639593908629442,0.582741116751269,0.5451776649746193,0.5076142131979695,0.4517766497461929
Ecuador,1.0,0.7311475409836066,0.32021857923497266,0.28743169398907104,0.2448087431693989,0.16721311475409836
France,1.0,0.721936148300721,0.16992790937178168,0.15242018537590113,0.13903192584963955,0.10710607621009269
Ivory Coast,1.0,0.4868421052631579,0.19078947368421054,0.1069078947368421,0.08717105263157894,0.05098684210526316
England,1.0,0.8595213319458896,0.3485952133194589,0.222684703433923,0.04058272632674298,0.031217481789802288
Spain,1.0,0.8221105527638191,0.2733668341708543,0.12663316582914572,0.03919597989949749,0.03015075376884422
Turkey,1.0,0.5148986889153755,0.42550655542312277,0.3706793802145411,0.3182359952324195,0.028605482717520857
Croatia,1.0,0.6108108108108108,0.372972972972973,0.2954954954954955,0.032432432432432434,0.02702702702702703
Denmark,1.0,0.7103448275862069,0.6402298850574712,0.06896551724137931,0.05862068965517241,0.01954022988505747
Norway,1.0,0.39928909952606634,0.04028436018957346,0.02962085308056872,0.026066350710900472,0.018957345971563982
South Korea,1.0,0.6302765647743813,0.5342066957787481,0.05967976710334789,0.049490538573508006,0.018922852983988356
South Africa,1.0,0.5193621867881549,0.43507972665148065,0.03189066059225513,0.022779043280182234,0.018223234624145785
United States,1.0,0.41517241379310343,0.30896551724137933,0.25517241379310346,0.21379310344827587,0.01793103448275862
Italy,1.0,0.4977827050997783,0.4445676274944568,0.07649667405764966,0.024390243902439025,0.015521064301552107
Ghana,1.0,0.4827586206896552,0.2838196286472148,0.20954907161803712,0.013262599469496022,0.013262599469496022
Panama,1.0,0.7486772486772487,0.414021164021164,0.31613756613756616,0.01455026455026455,0.011904761904761904
Netherlands,1.0,0.5455543358946213,0.11306256860592755,0.04500548847420417,0.036223929747530186,0.009879253567508232
Australia,1.0,0.3333333333333333,0.23973727422003285,0.180623973727422,0.15270935960591134,0.009852216748768473
Argentina,1.0,0.6248624862486248,0.5203520352035204,0.44884488448844884,0.0638063806380638,0.007700770077007701
Egypt,1.0,0.29025844930417494,0.07554671968190854,0.055666003976143144,0.007952286282306162,0.005964214711729622
Tunisia,1.0,0.41309523809523807,0.0761904761904762,0.030952380952380953,0.02857142857142857,0.005952380952380952
Morocco,1.0,0.4950884086444008,0.13163064833005894,0.043222003929273084,0.007858546168958742,0.005893909626719057
Algeria,1.0,0.27490774907749077,0.1974169741697417,0.14760147601476015,0.025830258302583026,0.005535055350553505
Paraguay,1.0,0.24593128390596744,0.162748643761302,0.12658227848101267,0.09945750452079566,0.0054249547920434
Canada,1.0,0.3114973262032086,0.23529411764705882,0.022727272727272728,0.0066844919786096255,0.0053475935828877
Ukraine,1.0,0.23319327731092437,0.06092436974789916,0.02100840336134454,0.018907563025210083,0.004201680672268907
Mexico,1.0,0.6292286874154263,0.5290933694181326,0.03382949932341001,0.028416779431664412,0.0040595399188092015
Senegal,1.0,0.17726396917148363,0.04046242774566474,0.007707129094412331,0.005780346820809248,0.0038535645472061657
New Zealand,1.0,0.42246642246642246,0.07326007326007326,0.04884004884004884,0.009768009768009768,0.003663003663003663
Scotland,1.0,0.7712952158693116,0.3453908984830805,0.061843640606767794,0.009334889148191364,0.003500583430571762
Switzerland,1.0,0.518140589569161,0.4331065759637188,0.05442176870748299,0.011337868480725623,0.003401360544217687
Austria,1.0,0.3103448275862069,0.21182266009852216,0.18883415435139572,0.027914614121510674,0.003284072249589491
Portugal,1.0,0.5328227571115973,0.10393873085339168,0.038293216630196934,0.010940919037199124,0.0032822757111597373
Brazil,1.0,0.7997835497835498,0.4069264069264069,0.08766233766233766,0.005411255411255411,0.003246753246753247
Haiti,1.0,0.3869209809264305,0.06267029972752043,0.010899182561307902,0.0027247956403269754,0.0027247956403269754
Belgium,1.0,0.4717416378316032,0.0922722029988466,0.0726643598615917,0.008073817762399077,0.002306805074971165
Cape Verde,1.0,0.11062906724511931,0.03036876355748373,0.006507592190889371,0.004338394793926247,0.0021691973969631237
Japan,1.0,0.210752688172043,0.053763440860215055,0.021505376344086023,0.015053763440860216,0.002150537634408602
Uzbekistan,1.0,0.24903474903474904,0.052123552123552123,0.015444015444015444,0.0019305019305019305,0.0019305019305019305
Colombia,1.0,0.39482961222091656,0.07050528789659224,0.03290246768507638,0.005875440658049354,0.0
Curaçao,1.0,0.17424242424242425,0.022727272727272728,0.0,0.0,0.0
DR Congo,1.0,0.17016317016317017,0.03263403263403263,0.011655011655011656,0.0,0.0
Iran,1.0,0.22113502935420742,0.0547945205479452,0.0410958904109589,0.003913894324853229,0.0
Iraq,1.0,0.13565891472868216,0.011627906976744186,0.003875968992248062,0.0,0.0
Jordan,1.0,0.29473684210526313,0.19849624060150375,0.13834586466165413,0.012030075187969926,0.0
Qatar,1.0,0.07471264367816093,0.022988505747126436,0.0,0.0,0.0
Saudi Arabia,1.0,0.07526881720430108,0.026881720430107527,0.0,0.0,0.0
Uruguay,1.0,0.2961165048543689,0.03155339805825243,0.014563106796116505,0.0012135922330097086,0.0
