match_no,stage,group,date,home_team,away_team,pred_home_goals,pred_away_goals,home_score_sim,away_score_sim,model_used
1,GROUP,A,2026-06-11,Mexico,South Africa,1.823953141632197,0.9433564369997294,2,0,PLAYER
2,GROUP,A,2026-06-11,South Korea,Denmark,2.03382584093954,0.7160930671141553,1,0,PLAYER
3,GROUP,B,2026-06-12,Canada,Italy,1.2432668620974572,1.5521322471033003,4,0,PLAYER
4,GROUP,C,2026-06-12,United States,Paraguay,1.5217436311593988,0.8084997265266899,2,0,PLAYER
5,GROUP,D,2026-06-13,Haiti,Scotland,1.795496455700531,0.7144233754108881,4,1,PLAYER
6,GROUP,C,2026-06-13,Australia,Turkey,1.912835779013985,0.8334563816236579,0,0,PLAYER
7,GROUP,D,2026-06-13,Brazil,Morocco,2.288481437650312,0.5990479802265588,3,0,PLAYER
8,GROUP,B,2026-06-13,Qatar,Switzerland,1.034737131205047,1.1585672344429827,0,1,HISTORY
9,GROUP,E,2026-06-14,Ivory Coast,Ecuador,2.0114521673016124,0.7380453701327283,0,0,PLAYER
10,GROUP,E,2026-06-14,Germany,Curaçao,3.60601059811533,0.3484072352955857,2,0,HISTORY
11,GROUP,F,2026-06-14,Netherlands,Japan,2.3448864582774536,0.5990060158050023,1,0,PLAYER
12,GROUP,F,2026-06-14,Ukraine,Tunisia,2.0487264173597666,0.6375681917482147,0,2,PLAYER
13,GROUP,G,2026-06-15,Saudi Arabia,Uruguay,1.5096736541330857,0.7385454347058628,2,1,PLAYER
14,GROUP,G,2026-06-15,Spain,Cape Verde,3.304846323948067,0.4922929579388679,4,1,PLAYER
15,GROUP,H,2026-06-15,Iran,New Zealand,1.7768892264477325,0.586270388396635,1,1,PLAYER
16,GROUP,H,2026-06-15,Belgium,Egypt,2.093749682882624,0.7723696999230482,3,0,PLAYER
17,GROUP,I,2026-06-16,France,Senegal,2.822049454608693,0.5448742013710132,2,0,PLAYER
18,GROUP,I,2026-06-16,Iraq,Norway,1.4547528874164515,0.9262203295290709,0,0,HISTORY
19,GROUP,J,2026-06-16,Argentina,Algeria,2.2316595546318148,0.662847377532868,0,2,PLAYER
20,GROUP,J,2026-06-16,Austria,Jordan,2.524223086565287,0.5599236283899398,3,1,PLAYER
21,GROUP,K,2026-06-17,Ghana,Panama,2.059398660104388,0.6472845486342109,5,2,PLAYER
22,GROUP,K,2026-06-17,England,Croatia,2.4159904595731323,0.6655094365471355,3,0,PLAYER
23,GROUP,L,2026-06-17,Portugal,DR Congo,2.3013157026788464,0.5753197025324494,2,1,PLAYER
24,GROUP,L,2026-06-17,Uzbekistan,Colombia,2.084003220975842,0.6548689642135483,3,0,PLAYER
25,GROUP,A,2026-06-18,Denmark,South Africa,2.4292629977481037,0.5551542841484842,3,0,PLAYER
26,GROUP,B,2026-06-18,Switzerland,Italy,1.8478523774620603,0.9063266339978641,1,1,PLAYER
27,GROUP,B,2026-06-18,Canada,Qatar,2.1059574767096874,0.5419712010420783,3,1,HISTORY
28,GROUP,A,2026-06-18,Mexico,South Korea,1.5983137617060448,1.2223911897348079,1,1,PLAYER
29,GROUP,D,2026-06-19,Brazil,Haiti,2.4228575276832474,0.518432571555167,0,0,PLAYER
30,GROUP,D,2026-06-19,Scotland,Morocco,2.1530679667319963,0.6120550494097785,1,1,PLAYER
31,GROUP,C,2026-06-19,Turkey,Paraguay,2.1690000965485057,0.5468249377770927,0,0,PLAYER
32,GROUP,C,2026-06-19,United States,Australia,1.5147216691988274,0.982799517773486,1,2,PLAYER
33,GROUP,E,2026-06-20,Germany,Ivory Coast,2.6887110306336495,0.6250504773303176,5,1,PLAYER
34,GROUP,E,2026-06-20,Ecuador,Curaçao,2.778673789374717,0.2885808838324041,5,0,HISTORY
35,GROUP,F,2026-06-20,Netherlands,Ukraine,2.240288042677234,0.6475559991611745,2,1,PLAYER
36,GROUP,F,2026-06-20,Tunisia,Japan,2.0425321054205825,0.6204710532792507,2,1,PLAYER
37,GROUP,G,2026-06-21,Uruguay,Cape Verde,2.223225899983921,0.6611645968294748,2,2,PLAYER
38,GROUP,G,2026-06-21,Spain,Saudi Arabia,3.6428297797644666,0.2843196650862771,2,1,PLAYER
39,GROUP,H,2026-06-21,Belgium,Iran,1.8730238505280719,0.570235752243741,2,0,PLAYER
40,GROUP,H,2026-06-21,New Zealand,Egypt,1.9283540505157084,0.8465008671986023,2,1,PLAYER
41,GROUP,I,2026-06-22,Norway,Senegal,1.9999056487860052,0.6953446570089998,3,1,PLAYER
