date,home_team,away_team,home_score,away_score,tournament,country,neutral
11-jun-26,Mexico,South Africa,,,World Cup,Mexico,FALSE
11-jun-26,South Korea,UEFA Winner D,,,World Cup,Mexico,TRUE
12-jun-26,Canada,UEFA Winner A,,,World Cup,Canada,FALSE
12-jun-26,USA,Paraguay,,,World Cup,USA,FALSE
13-jun-26,Haiti,Scotland,,,World Cup,USA,TRUE
13-jun-26,Australia,UEFA Winner C,,,World Cup,Canada,TRUE
13-jun-26,Brazil,Morocco,,,World Cup,USA,TRUE
13-jun-26,Qatar,Switzerland,,,World Cup,USA,TRUE
14-jun-26,Ivory Coast,Ecuador,,,World Cup,USA,TRUE
14-jun-26,Germany,Curaçao,,,World Cup,USA,TRUE
14-jun-26,Netherlands,Japan,,,World Cup,USA,TRUE
14-jun-26,UEFA Winner B,Tunisia,,,World Cup,Mexico,TRUE
15-jun-26,Saudi Arabia,Uruguay,,,World Cup,USA,TRUE
15-jun-26,Spain,Cape Verde,,,World Cup,USA,TRUE
15-jun-26,Iran,New Zealand,,,World Cup,USA,TRUE
15-jun-26,Belgium,Egypt,,,World Cup,USA,TRUE
16-jun-26,France,Senegal,,,World Cup,USA,TRUE
16-jun-26,IC Winner 2,Norway,,,World Cup,USA,TRUE
16-jun-26,Argentina,Algeria,,,World Cup,USA,TRUE
16-jun-26,Austria,Jordan,,,World Cup,USA,TRUE
17-jun-26,Ghana,Panama,,,World Cup,Canada,TRUE
17-jun-26,England,Croatia,,,World Cup,USA,TRUE
17-jun-26,Portugal,IC Winner 1,,,World Cup,USA,TRUE
17-jun-26,Uzbekistan,Colombia,,,World Cup,Mexico,TRUE
18-jun-26,UEFA Winner D,South Africa,,,World Cup,USA,TRUE
18-jun-26,Switzerland,UEFA Winner A,,,World Cup,USA,TRUE
18-jun-26,Canada,Qatar,,,World Cup,Canada,FALSE
18-jun-26,Mexico,South Korea,,,World Cup,Mexico,FALSE
19-jun-26,Brazil,Haiti,,,World Cup,USA,TRUE
19-jun-26,Scotland,Morocco,,,World Cup,USA,TRUE
19-jun-26,UEFA Winner C,Paraguay,,,World Cup,USA,TRUE
19-jun-26,USA,Australia,,,World Cup,USA,FALSE
20-jun-26,Germany,Ivory Coast,,,World Cup,Canada,TRUE
20-jun-26,Ecuador,Curaçao,,,World Cup,USA,TRUE
20-jun-26,Netherlands,UEFA Winner B,,,World Cup,USA,TRUE
20-jun-26,Tunisia,Japan,,,World Cup,Mexico,TRUE
21-jun-26,Uruguay,Cape Verde,,,World Cup,USA,TRUE
21-jun-26,Spain,Saudi Arabia,,,World Cup,USA,TRUE
21-jun-26,Belgium,Iran,,,World Cup,USA,TRUE
21-jun-26,New Zealand,Egypt,,,World Cup,Canada,TRUE
