stadium,city,country
AT&T Stadium,Arlington,United States
Estadio Azteca (Estadio Banorte),Mexico City,Mexico
MetLife Stadium,East Rutherford,United States
Mercedes-Benz Stadium,Atlanta,United States
GEHA Field at Arrowhead Stadium,Kansas City,United States
NRG Stadium,Houston,United States
Levi's Stadium,Santa Clara,United States
SoFi Stadium,Inglewood,United States
Lincoln Financial Field,Philadelphia,United States
Lumen Field,Seattle,United States
Gillette Stadium,Foxborough (Boston area),United States
Hard Rock Stadium,Miami Gardens (Miami area),United States
BC Place,Vancouver,Canada
Estadio BBVA,Guadalupe (Monterrey area),Mexico
Estadio Akron,Zapopan (Guadalajara area),Mexico
BMO Field,Toronto,Canada
