team,pts,gd,gf,ga,rank_in_group
Spain,6.924,6.12,8.294,2.174,1.28
France,6.41,4.303,6.753,2.45,1.509
Germany,6.327,4.743,7.448,2.705,1.473
England,6.042,3.351,6.193,2.842,1.531
Brazil,5.623,2.462,5.507,3.045,1.741
Argentina,5.583,2.353,5.162,2.809,1.727
Netherlands,5.521,2.195,5.332,3.137,1.804
Switzerland,5.516,2.096,4.848,2.752,1.88
Portugal,5.515,2.303,5.289,2.986,1.798
Belgium,5.219,1.548,4.756,3.208,1.959
Ecuador,5.202,2.01,5.284,3.274,1.991
Scotland,5.119,1.529,4.73,3.201,1.971
Denmark,5.11,1.572,5.002,3.43,1.99
Turkey,5.104,1.518,4.793,3.275,2.014
Italy,5.099,2.113,5.616,3.503,2.011
